word,frequency
break,31
party,31
ran,31
wed,31
original,31
creepy,30
shuttle,30
ideal,30
slightly,30
bargain,30
attached,30
sent,30
suggest,30
planning,30
jfk,30
thinking,30
st,30
truly,30
aware,30
cool,30
complete,30
downtown,30
courteous,30
9,30
plastic,30
glass,30
whilst,29
motel,29
dusty,29
hey,29
special,29
sightseeing,29
spring,29
along,29
bell,29
appeared,29
standing,29
white,29
note,29
often,29
worry,29
office,29
fire,28
cracked,28
giving,28
cloth,28
fault,28
meant,28
weve,28
highly,28
item,28
43rd,28
throughout,28
board,28
response,28
afraid,28
showed,28
cause,28
country,28
unfriendly,28
weird,28
unsafe,27
acceptable,27
clear,27
joke,27
moment,27
fall,27
tight,27
limited,27
cancelled,27
together,27
car,27
hanger,27
red,27
strange,27
talk,27
definately,27
fell,27
mine,27
mildew,27
45,27
relatively,26
na,26
hit,26
future,26
roll,26
maintenance,26
adult,26
afford,26
confirmation,26
17th,26
touch,26
incredibly,26
mostly,26
sized,26
generally,26
alot,26
tea,26
via,26
sorry,26
bottom,26
smelt,26
shoe,26
drain,26
talking,26
imagine,26
gone,26
pic,26
inch,26
nobody,25
process,25
leaking,25
exploring,25
owner,25
homeless,25
bigger,25
sq,25
cab,25
crowded,25
chinese,25
dryer,25
post,25
difficult,25
shocked,25
meet,25
apple,25
coupon,25
pro,25
non,25
25,25
stated,25
july,25
torn,25
temperature,25
lost,25
afternoon,25
provide,25
company,25
april,25
promised,25
recent,25
longer,25
2013,24
class,24
pick,24
history,24
mess,24
willing,24
aircon,24
welcome,24
additional,24
asian,24
situated,24
six,24
bulb,24
secure,24
telling,24
returning,24
washcloth,24
functional,24
empty,24
normal,24
macys,24
centre,24
november,24
waste,23
fair,23
convenience,23
comfort,23
iron,23
wonder,23
socket,23
explained,23
coat,23
1st,23
alarm,23
locked,23
ride,23
august,23
mirror,23
usa,23
advertised,23
opinion,23
fixture,23
begin,23
broke,23
department,23
brown,23
bank,23
collection,23
son,22
strip,22
doubt,22
satisfied,22
refurbishment,22
boy,22
position,22
saved,22
vacuumed,22
gentleman,22
hundred,22
particularly,22
cheerful,22
discount,22
confirmed,22
lay,22
advisor,22
report,22
discovered,22
carpeting,22
overnight,22
laugh,22
accommodating,22
june,22
guard,22
somewhat,22
separate,22
filth,22
80,22
control,22
trust,22
welcoming,22
accomodation,22
decorated,22
triple,22
travelled,22
sat,22
american,22
muffin,22
buffet,22
america,21
shouldnt,21
2012,21
mark,21
besides,21
brick,21
march,21
inexpensive,21
avenue,21
mini,21
managed,21
ensuite,21
centrally,21
smaller,21
reasonably,21
ahead,21
agree,21
christmas,21
accessible,21
consider,21
updating,21
professional,21
wake,21
replaced,21
beside,21
toiletry,21
stopped,21
luck,21
direction,21
complimentary,21
moldy,21
regarding,21
drop,21
baggage,21
200,21
became,21
w,21
electrical,21
tripadvisor,21
musty,21
juice,21
hop,20
2014,20
allow,20
faucet,20
keeping,20
mother,20
written,20
round,20
earlier,20
throw,20
6th,20
12th,20
incredible,20
base,20
comforter,20
300,20
serious,20
70,20
thick,20
europe,20
duty,20
range,20
policy,20
regular,20
refrigerator,20
reviewer,20
moving,20
grand,20
frame,20
ugly,20
freezing,20
needle,20
style,20
strong,20
concert,20
figured,20
neon,20
reach,20
alternative,20
knob,20
dog,19
personnel,19
admit,19
biggest,19
upstairs,19
crazy,19
term,19
explore,19
basement,19
eye,19
rust,19
interesting,19
receive,19
diner,19
rubbish,19
